name	sampling_time
t123	69.58999613100013
t124	69.90092143100037
t125	69.9299382500003
t126	70.1237242000002
t127	70.59857774000011
t128	70.74587191199998
t129	70.7896019320001
t130	70.95027465099975
t131	72.40611086099989
t132	72.74289056099997
t133	72.78172687200049
t134	72.9880607200007
t135	73.60366394000084
t136	73.62579181000046
t137	74.13292636200049
t138	74.72550335000051
t139	75.62924914000041
t140	75.98110208700064
t141	76.42577369200035
t142	77.31745684000043
t143	77.3465740100005
t144	78.1403613600005
t145	78.2073281730004
t146	78.63948843700018
t147	78.87513151099984
t148	79.61915435899982
t149	79.70357425600014
t150	81.24942140999974
t151	81.26019666899992
t152	81.39313935899963
t153	81.71807380999962
t154	82.17775179
t155	82.28881651300026
t156	82.49885690200063
t157	82.81260462200089
t158	83.70376449500009
t159	84.41619243200012
t160	85.20708625199995
t161	85.35542899000029
t162	85.88495662999958
t163	86.08629361999965
t164	86.26996743000018
t165	86.43267013200011
t166	86.86785933600004
t167	87.12222245000066
t168	87.53775355000062
t169	87.68895220500053
t170	87.99458622500015
t171	88.28143583000019
t172	88.49258314000008
t173	89.06113635700012
t174	89.11209127300026
t175	90.19126169800029
t176	90.19347768700072
t177	90.36128317900057
t178	91.26261979800029
t179	91.40405799000018
t180	92.38945767000041
t181	92.97010535200025
t182	94.04028477200018
t183	94.3854730410003
t184	94.99182466100001
t185	95.02822633100004
t186	95.47555309200106
t187	95.48418990200071
t188	95.86159151000084
t189	96.33321288000025
t190	96.5936546439998
t191	96.94055577399968
t192	97.70042127399984
t193	98.91246843399995
t1	0.0
t2	0.0393116589998499
t3	0.09471922900002028
t4	1.8935638240000117
t5	1.965137589999813
t6	2.380238570000074
t7	2.5396625270000186
t8	2.5760268090002683
t9	3.204609127000367
t10	3.8820877870002732
t11	4.217631371800053
t12	4.415067646800708
t13	5.277795263800726
t14	5.441166381800485
t15	5.6355290318006155
t16	5.669061640000109
t17	6.076033874000132
t18	7.265422554000452
t19	7.375979253999958
t20	8.337452524000128
t21	8.468760113999906
t22	8.521923928999968
t23	9.07888947399988
t24	9.436425609999787
t25	9.92076079699973
t26	10.834386476999953
t27	11.189472890000161
t28	11.452606150000065
t29	11.783690719999868
t30	11.829239800999858
t31	11.898898305999865
t32	12.207716789999722
t33	12.306890539000051
t34	12.983775950000108
t35	13.07244854999999
t36	13.479850420000275
t37	13.92168777400002
t38	14.13889378399972
t39	14.304783670190318
t40	14.518928539190256
t41	14.658582879190362
t42	15.38682311519051
t43	15.581520570190605
t44	16.096525680190098
t45	17.444009070190077
t46	18.512186148190267
t47	19.75565817819006
t48	19.997447907999685
t49	20.81819331799943
t50	21.189665784999306
t51	22.3074928989995
t52	22.313585308999336
t53	23.541735758999494
t54	23.72167110199962
t55	25.789210731999447
t56	26.217289685000196
t57	26.91802610700006
t58	26.93810990699967
t59	27.33276039700013
t60	29.864392034999582
t61	29.91667259499991
t62	31.054671340999903
t63	31.488158480999573
t64	33.446815880999566
t65	33.486890430999665
t66	34.53061633099969
t67	35.6025463699998
t68	38.46897326999988
t69	38.519751420999455
t70	38.84277681379899
t71	39.01971837079918
t72	39.05381243999909
t73	39.76232477399935
t74	40.20220523631906
t75	44.43480777899913
t76	44.627715644999626
t77	45.793606124999314
t78	46.21486363499935
t79	47.765761240999836
t80	48.02323260100002
t81	52.710048569999344
t82	53.23035306999964
t83	53.38745558999972
t84	54.63884988999962
t85	54.90615136999941
t86	55.184127289999196
t87	55.8504545299993
t88	56.04049935100011
t89	56.04498409100006
t90	56.3758420209997
t91	56.76553139099997
t92	56.809527480999805
t93	56.84329287999981
t94	56.974442889999864
t95	57.283989100000326
t96	57.941034200000104
t97	57.952030838000155
t98	58.07519718000003
t99	58.59909279099975
t100	58.767508190999706
t101	60.48846017520009
t102	60.810478995200356
t103	61.13076189520007
t104	61.909542685199995
t105	62.291169010999965
t106	62.32290633399998
t107	62.465801693999765
t108	63.428762809999625
t109	63.452066079999895
t110	63.69275975999972
t111	63.79284849299984
t112	64.90024980099997
t113	65.43626907999987
t114	65.80438085299966
t115	66.32240114199976
t116	66.57619953699941
t117	66.88429845699966
t118	67.14184570399948
t119	67.26237961999959
t120	67.3373166299998
t121	67.55006399000013
t122	69.10446935999971
